,HS06,GOODS_DESCRIPTION_len_words,GOODS_DESCRIPTION_len_words,GOODS_DESCRIPTION_len_words,GOODS_DESCRIPTION_len_words,GOODS_DESCRIPTION_len_words,GOODS_DESCRIPTION_len_words,GOODS_DESCRIPTION_len_chars,GOODS_DESCRIPTION_len_chars,GOODS_DESCRIPTION_len_chars,GOODS_DESCRIPTION_len_chars,GOODS_DESCRIPTION_len_chars,GOODS_DESCRIPTION_len_chars,subtokenization_indicator,subtokenization_indicator,subtokenization_indicator,subtokenization_indicator,subtokenization_indicator,subtokenization_indicator
,count,sum,min,mean,median,max,std,sum,min,mean,median,max,std,sum,min,mean,median,max,std
HS04,,,,,,,,,,,,,,,,,,,
0504,1,2,2,2.0,2.0,2,,13,13,13.0,13.0,13,,1.5,1.5,1.5,1.5,1.5,
0506,3,10,2,3.3333333333333335,3.0,5,1.5275252316519468,58,12,19.333333333333332,16.0,30,9.451631252505216,3.8,1.0,1.2666666666666666,1.0,1.8,0.46188021535170054
0507,1,1,1,1.0,1.0,1,,5,5,5.0,5.0,5,,1.0,1.0,1.0,1.0,1.0,
0508,2,3,1,1.5,1.5,2,0.7071067811865476,19,5,9.5,9.5,14,6.363961030678928,3.0,1.0,1.5,1.5,2.0,0.7071067811865476
0510,1,4,4,4.0,4.0,4,,16,16,16.0,16.0,16,,1.25,1.25,1.25,1.25,1.25,
0511,5,11,2,2.2,2.0,3,0.4472135954999579,67,10,13.4,14.0,17,2.6076809620810595,8.333333333333332,1.3333333333333333,1.6666666666666665,1.5,2.0,0.3118047822311618
0601,2,2,1,1.0,1.0,1,0.0,10,4,5.0,5.0,6,1.4142135623730951,2.0,1.0,1.0,1.0,1.0,0.0
0602,69,236,1,3.420289855072464,3.0,8,1.5185693451156514,1766,8,25.594202898550726,26.0,57,11.363407267317873,154.06190476190477,1.0,2.2327812284334025,2.0,7.5,1.069138943599105
0603,10,21,1,2.1,2.0,4,0.9944289260117533,121,5,12.1,11.5,23,5.685263601823773,10.833333333333334,1.0,1.0833333333333335,1.0,1.5,0.1800205749557739
0604,2,5,2,2.5,2.5,3,0.7071067811865476,31,12,15.5,15.5,19,4.949747468305833,2.333333333333333,1.0,1.1666666666666665,1.1666666666666665,1.3333333333333333,0.23570226039551587
0701,7,17,2,2.4285714285714284,2.0,4,0.7867957924694432,109,12,15.571428571428571,13.0,26,5.255382728122436,8.5,1.0,1.2142857142857142,1.0,2.0,0.3933978962347216
0702,16,40,1,2.5,2.0,5,1.264911064067352,293,6,18.3125,16.5,34,8.404116055045092,25.433333333333334,1.0,1.5895833333333333,1.5,3.0,0.5931358909939486
0703,15,53,2,3.533333333333333,3.0,6,1.6417180315870614,295,9,19.666666666666668,17.0,33,8.607859088951102,18.5,1.0,1.2333333333333334,1.0,2.0,0.37161167647860327
0704,1,1,1,1.0,1.0,1,,8,8,8.0,8.0,8,,3.0,3.0,3.0,3.0,3.0,
0705,1,2,2,2.0,2.0,2,,14,14,14.0,14.0,14,,2.0,2.0,2.0,2.0,2.0,
0706,6,13,1,2.1666666666666665,2.0,3,0.752772652709081,77,9,12.833333333333334,12.5,16,2.48327740429189,9.5,1.0,1.5833333333333333,1.4166666666666665,3.0,0.7434902674398487
0707,1,2,2,2.0,2.0,2,,13,13,13.0,13.0,13,,3.5,3.5,3.5,3.5,3.5,
0708,10,38,2,3.8,3.0,8,2.043961295567452,216,11,21.6,19.0,38,9.167575712501339,13.160714285714286,1.0,1.3160714285714286,1.3333333333333333,1.6666666666666667,0.2548108851199474
0709,28,84,1,3.0,3.0,5,1.247219128924647,574,6,20.5,19.0,38,8.52664668575541,44.78333333333333,1.0,1.5994047619047618,1.5,3.0,0.5128088177848383
0710,14,45,1,3.2142857142857144,3.0,9,1.9681530361296533,275,5,19.642857142857142,15.0,69,15.750981131136136,20.694444444444443,1.0,1.478174603174603,1.0,2.7777777777777777,0.6334475241400025
0711,28,76,1,2.7142857142857144,3.0,5,0.9371802805793976,515,6,18.392857142857142,18.0,37,6.988558298386519,46.15,1.0,1.6482142857142856,1.3333333333333333,4.0,0.7487759460623241
0712,18,37,1,2.0555555555555554,2.0,4,0.9375953110592338,237,5,13.166666666666666,12.0,27,6.214309861828869,28.083333333333332,1.0,1.5601851851851851,1.125,3.0,0.7496216668611849
0713,114,393,1,3.4473684210526314,3.0,8,1.5290236647905486,2217,7,19.44736842105263,18.5,42,8.762442082182096,187.625,1.0,1.6458333333333333,1.5,5.5,0.7352981517127504
0714,5,12,1,2.4,2.0,4,1.51657508881031,70,4,14.0,9.0,26,10.653637876331258,9.0,1.0,1.8,1.5,3.0,0.758287544405155
0801,25,72,1,2.88,3.0,5,1.2688577540449522,478,6,19.12,19.0,36,8.579627031520658,43.083333333333336,1.0,1.7233333333333334,1.5,3.0,0.7126664847728695
0802,66,189,1,2.8636363636363638,2.0,10,1.912600836045503,1199,6,18.166666666666668,15.0,42,8.386038458392678,118.97460317460317,1.0,1.8026455026455026,1.6666666666666667,5.0,0.7401074404824182
0803,3,9,1,3.0,4.0,4,1.7320508075688772,57,10,19.0,23.0,24,7.810249675906654,7.25,1.0,2.4166666666666665,2.25,4.0,1.506928443335427
0804,72,202,1,2.8055555555555554,3.0,6,1.3493753264077408,1266,5,17.583333333333332,17.0,35,8.34257703286555,149.76666666666668,1.0,2.080092592592593,1.6666666666666667,8.0,1.2600166395083605
0805,19,33,1,1.736842105263158,2.0,3,0.6533762964749499,238,5,12.526315789473685,12.0,23,4.68292905790847,39.833333333333336,1.0,2.0964912280701755,2.0,4.0,0.8594352679853497
0806,38,88,1,2.3157894736842106,2.0,5,0.9036042890765588,564,5,14.842105263157896,13.0,29,5.630641631094043,67.51666666666667,1.0,1.7767543859649122,1.6666666666666667,5.0,0.8951532782137146
0807,2,4,2,2.0,2.0,2,0.0,28,12,14.0,14.0,16,2.8284271247461903,3.5,1.5,1.75,1.75,2.0,0.3535533905932738
0808,12,26,1,2.1666666666666665,2.0,3,0.7177405625652734,169,4,14.083333333333334,15.0,21,5.142661732699293,23.5,1.0,1.9583333333333333,2.0,3.0,0.5865711010317987
0809,12,22,1,1.8333333333333333,2.0,3,0.8348471099367218,132,4,11.0,10.0,28,6.592006178284837,19.0,1.0,1.5833333333333333,1.5,3.0,0.6336522323129237
0810,28,55,1,1.9642857142857142,2.0,4,0.9993384054849732,395,4,14.107142857142858,11.0,27,6.106094622128905,64.66666666666667,1.0,2.3095238095238098,2.0,5.0,1.2737168042208193
0811,1,2,2,2.0,2.0,2,,16,16,16.0,16.0,16,,2.0,2.0,2.0,2.0,2.0,
0812,4,10,1,2.5,2.0,5,1.7320508075688772,50,8,12.5,10.0,22,6.403124237432849,5.0,1.0,1.25,1.0,2.0,0.5
0813,35,109,1,3.1142857142857143,3.0,7,1.4905867098212697,658,4,18.8,19.0,39,8.992807583580008,57.42142857142857,1.0,1.6406122448979592,1.5714285714285714,3.0,0.6295690514115554
0901,70,221,1,3.157142857142857,2.0,11,2.0756400394815486,1315,5,18.785714285714285,14.5,53,11.376167380317957,117.66958874458875,1.0,1.6809941249226965,1.5,4.0,0.7015821596417589
0902,63,238,1,3.7777777777777777,3.0,12,2.0669788179107584,1335,4,21.19047619047619,18.0,58,10.753629759080964,97.04880952380952,1.0,1.5404572940287227,1.5,3.0,0.49726431822058637
0903,2,3,1,1.5,1.5,2,0.7071067811865476,14,4,7.0,7.0,10,4.242640687119285,2.0,1.0,1.0,1.0,1.0,0.0
0904,47,152,2,3.234042553191489,3.0,7,1.1834504812741942,977,9,20.78723404255319,19.0,43,7.52657948240121,70.20714285714286,1.0,1.4937689969604864,1.4,4.5,0.6175650253074294
0905,11,24,1,2.1818181818181817,2.0,5,1.3280197150781925,150,5,13.636363636363637,12.0,30,8.674937778136824,14.4,1.0,1.309090909090909,1.0,2.0,0.4011347540529129
0906,28,73,1,2.607142857142857,2.0,12,2.2167591578746584,480,4,17.142857142857142,14.0,72,13.473469914405554,54.75,1.0,1.9553571428571428,2.0,5.0,0.8188501117939413
0907,7,14,1,2.0,2.0,3,0.816496580927726,86,6,12.285714285714286,11.0,19,4.680252333449759,14.333333333333334,1.0,2.047619047619048,1.6666666666666667,4.0,0.9752221290855746
0908,7,16,1,2.2857142857142856,2.0,4,1.1126972805283737,110,8,15.714285714285714,13.0,28,7.674943772091226,15.333333333333334,1.5,2.1904761904761907,1.6666666666666667,4.0,0.9546599716001826
0909,53,139,1,2.6226415094339623,3.0,5,1.0419363463198186,911,5,17.18867924528302,17.0,38,7.55761613761902,99.76666666666667,1.0,1.8823899371069182,1.6666666666666667,3.6666666666666665,0.6312162244018075
0910,271,1101,1,4.062730627306273,3.0,11,2.2525159425882086,6019,4,22.210332103321033,22.0,60,9.954900351103973,471.84271284271284,1.0,1.741117021559826,1.5,9.0,0.7942332680097038
1001,66,402,1,6.090909090909091,7.0,11,2.1247788860691634,2440,4,36.96969696969697,39.0,73,12.49611594668174,83.973556998557,1.0,1.2723266211902575,1.2857142857142858,2.0,0.22660667255210096
1003,4,7,1,1.75,2.0,2,0.5,44,6,11.0,12.0,14,3.464101615137755,5.0,1.0,1.25,1.0,2.0,0.5
1004,3,8,2,2.6666666666666665,3.0,3,0.5773502691896258,47,8,15.666666666666666,17.0,22,7.094598884597588,5.5,1.0,1.8333333333333333,1.5,3.0,1.0408329997330663
1005,131,735,2,5.6106870229007635,5.0,10,2.6357673501978054,3970,10,30.30534351145038,32.0,51,12.089978768048416,222.025,1.0,1.6948473282442749,1.75,3.0,0.5236914618511177
1006,51,165,1,3.235294117647059,3.0,7,1.54386832721081,920,6,18.03921568627451,16.0,36,7.701845971749178,87.99285714285715,1.0,1.7253501400560225,1.5,5.5,0.8735829242360873
1007,1,2,2,2.0,2.0,2,,13,13,13.0,13.0,13,,2.0,2.0,2.0,2.0,2.0,
1008,29,94,1,3.2413793103448274,3.0,9,1.8449772049268003,535,4,18.448275862068964,18.0,45,9.432414502647436,47.964285714285715,1.0,1.6539408866995073,1.5,3.5,0.5292838842580345
1101,80,307,1,3.8375,3.0,11,2.0711627627671896,1706,3,21.325,18.0,54,10.843857270654626,143.08661616161615,1.0,1.7885827020202019,1.5714285714285714,5.0,0.7552969648603021
1102,42,144,1,3.4285714285714284,4.0,6,1.3093073414159542,872,5,20.761904761904763,21.0,43,8.313402414055606,79.21666666666667,1.0,1.886111111111111,1.75,3.6,0.6779823872598075
1103,9,29,1,3.2222222222222223,3.0,6,1.8559214542766742,165,8,18.333333333333332,15.0,32,7.33143914930759,22.416666666666668,1.1666666666666667,2.490740740740741,1.75,7.0,1.8125931223417167
1104,71,268,1,3.7746478873239435,4.0,8,1.8376785285368802,1582,3,22.281690140845072,22.0,56,11.373130111415552,131.6297619047619,1.0,1.853940308517773,1.8333333333333333,4.0,0.6320056537739381
1105,10,34,1,3.4,3.0,6,1.776388345929897,203,8,20.3,19.0,34,8.472832400613674,20.85,1.0,2.085,1.8333333333333335,4.0,0.911871295336825
1106,26,116,2,4.461538461538462,4.0,13,2.336335065537805,820,10,31.53846153846154,30.0,94,16.92626543388888,42.32051282051282,1.0,1.6277120315581852,1.5,2.6666666666666665,0.5112338373125265
1107,43,209,2,4.8604651162790695,5.0,8,1.807147124862005,1272,11,29.58139534883721,33.0,43,9.817944111578202,88.15,1.2,2.0500000000000003,1.8333333333333333,6.0,0.9185002423370976
1108,49,175,1,3.5714285714285716,3.0,8,1.6072751268321595,1057,6,21.571428571428573,19.0,53,10.146838588118634,77.88690476190476,1.0,1.5895286686103012,1.5,4.5,0.5702638271893229
1201,10,25,1,2.5,2.0,4,0.97182531580755,144,7,14.4,13.0,24,6.239658110292049,20.25,1.0,2.025,2.0,3.0,0.6503204338375558
1202,9,15,1,1.6666666666666667,2.0,3,0.7071067811865476,103,6,11.444444444444445,11.0,19,4.850544070285083,15.333333333333332,1.0,1.7037037037037035,1.5,3.0,0.7206178761707137
1204,3,4,1,1.3333333333333333,1.0,2,0.5773502691896258,23,6,7.666666666666667,7.0,10,2.0816659994661326,6.5,1.5,2.1666666666666665,2.0,3.0,0.7637626158259733
1206,7,21,2,3.0,3.0,5,1.0,142,14,20.285714285714285,21.0,28,4.680252333449759,11.1,1.3333333333333333,1.5857142857142856,1.5,2.0,0.3005286347712316
1207,29,68,1,2.3448275862068964,2.0,5,1.0098041560112223,444,5,15.310344827586206,14.0,31,7.0259897537432,46.333333333333336,1.0,1.5977011494252875,1.3333333333333333,3.5,0.7067661112914656
1208,5,13,2,2.6,2.0,5,1.3416407864998738,93,15,18.6,16.0,30,6.4265076052238514,13.6,1.6,2.7199999999999998,3.0,3.0,0.6260990336999411
1209,204,790,1,3.872549019607843,3.0,25,2.846384167693735,5467,7,26.79901960784314,24.0,149,17.848122226564666,434.4988896610636,1.0,2.1298965179463902,2.0,5.0,0.8013249864936591
1210,7,28,2,4.0,4.0,6,1.7320508075688774,196,8,28.0,22.0,45,15.329709716755891,14.933333333333334,1.6666666666666667,2.1333333333333333,2.0,2.6,0.3501322501464162
1211,33,102,1,3.090909090909091,3.0,7,1.6838133129083142,687,6,20.818181818181817,19.0,51,11.854467895730666,66.6595238095238,1.0,2.01998556998557,1.8,8.0,1.2696340582199543
1212,9,25,1,2.7777777777777777,2.0,7,1.986062547968831,194,7,21.555555555555557,14.0,66,18.668898676080968,19.535714285714285,1.0,2.1706349206349205,2.0,4.0,1.0192311806192378
1214,1,3,3,3.0,3.0,3,,26,26,26.0,26.0,26,,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,
1301,7,23,1,3.2857142857142856,3.0,7,1.889822365046136,146,15,20.857142857142858,20.0,29,5.639993245521116,20.476190476190474,1.1428571428571428,2.9251700680272106,2.0,7.0,1.9939168908310354
1302,48,148,1,3.0833333333333335,3.0,15,1.9875499012425017,938,5,19.541666666666668,19.0,77,10.776172164772737,122.88333333333333,1.0,2.5600694444444443,2.0,18.0,2.4357797368639353
1401,7,15,2,2.142857142857143,2.0,3,0.3779644730092273,96,10,13.714285714285714,13.0,21,4.23140188409963,10.833333333333332,1.0,1.5476190476190474,1.5,2.5,0.5418955560352877
1404,4,8,1,2.0,2.0,3,0.816496580927726,52,6,13.0,11.0,24,7.745966692414834,5.833333333333333,1.0,1.4583333333333333,1.4166666666666665,2.0,0.4166666666666667
1501,1,5,5,5.0,5.0,5,,33,33,33.0,33.0,33,,1.0,1.0,1.0,1.0,1.0,
1503,1,1,1,1.0,1.0,1,,9,9,9.0,9.0,9,,1.0,1.0,1.0,1.0,1.0,
1504,5,8,1,1.6,2.0,2,0.5477225575051662,40,7,8.0,7.0,11,1.7320508075688772,7.0,1.0,1.4,1.0,3.0,0.8944271909999159
1505,1,3,3,3.0,3.0,3,,20,20,20.0,20.0,20,,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,
1507,11,46,2,4.181818181818182,4.0,8,1.4709304414677002,286,10,26.0,26.0,52,10.583005244258363,21.008333333333333,1.3333333333333333,1.909848484848485,2.0,2.75,0.383818862475412
1508,2,6,3,3.0,3.0,3,0.0,38,12,19.0,19.0,26,9.899494936611665,3.0,1.3333333333333333,1.5,1.5,1.6666666666666667,0.23570226039551595
1509,84,378,2,4.5,4.0,10,1.9106549687577172,2144,8,25.523809523809526,24.5,55,11.229775599337438,128.95515873015873,1.0,1.5351804610733182,1.5,2.5,0.3888410195209812
1510,6,18,2,3.0,2.5,5,1.2649110640673518,99,10,16.5,14.5,26,6.715653356152326,8.05,1.0,1.3416666666666668,1.25,1.8,0.3878358759406699
1511,254,1046,1,4.118110236220472,4.0,8,1.3894815095100403,6490,6,25.551181102362204,23.5,50,8.891270010181326,399.82142857142856,1.0,1.5741001124859393,1.5,8.0,0.5974417559150725
1512,72,292,1,4.055555555555555,4.0,10,1.7911274983037833,1834,9,25.47222222222222,26.0,50,8.592450374769673,125.80555555555556,1.0,1.7472993827160495,1.55,6.5,0.7621647925620996
1513,29,110,1,3.793103448275862,4.0,8,1.5670561651167907,631,8,21.75862068965517,21.0,38,8.10491549446469,42.78333333333333,1.0,1.475287356321839,1.5,2.5,0.45354907090124263
1514,12,42,2,3.5,3.5,5,0.9999999999999999,247,10,20.583333333333332,20.5,33,7.4034185387972,19.85,1.0,1.6541666666666668,1.4166666666666665,3.0,0.6645468190785919
1515,74,260,1,3.5135135135135136,3.0,12,1.8375329145742265,1491,5,20.14864864864865,20.0,54,9.312949347338577,136.384126984127,1.0,1.843028743028743,1.6666666666666667,4.0,0.6669573144148718
1516,50,249,2,4.98,5.0,10,2.161726445341731,1338,8,26.76,28.0,57,10.799773240249829,84.39722222222223,1.0,1.6879444444444445,1.6904761904761905,2.5,0.4074096397501163
1517,34,92,1,2.7058823529411766,2.0,7,1.3823434595950477,674,6,19.823529411764707,17.5,46,9.724915169016297,74.6595238095238,1.3333333333333333,2.1958683473389353,2.0,3.0,0.49004110377200166
1518,3,6,1,2.0,1.0,4,1.7320508075688772,28,3,9.333333333333334,4.0,21,10.115993936995679,5.0,1.0,1.6666666666666667,2.0,2.0,0.5773502691896258
1520,5,17,1,3.4,4.0,5,1.51657508881031,113,9,22.6,26.0,26,7.602631123499285,13.3,1.8,2.66,2.25,4.0,0.8641469782392344
1521,1,2,2,2.0,2.0,2,,8,8,8.0,8.0,8,,1.0,1.0,1.0,1.0,1.0,
1601,65,310,1,4.769230769230769,4.0,16,2.8981094633464863,2043,7,31.43076923076923,28.0,129,23.587582293688733,115.96594516594517,1.0,1.7840914640914642,1.6666666666666667,3.6,0.5855484097519065
1602,33,120,1,3.6363636363636362,4.0,8,1.5576059718800401,705,7,21.363636363636363,21.0,43,9.120095194877978,53.55833333333333,1.0,1.622979797979798,1.4,3.0,0.5787207152381806
1604,63,265,1,4.2063492063492065,4.0,9,1.5673969602263427,1506,6,23.904761904761905,26.0,42,7.387247699341655,114.61269841269842,1.0,1.8192491811539433,1.75,7.666666666666667,0.8990666559769204
1605,6,15,1,2.5,2.0,5,1.378404875209022,86,7,14.333333333333334,14.0,22,5.391351098441528,9.9,1.0,1.6500000000000001,1.2,3.0,0.8803408430829504
1701,93,450,1,4.838709677419355,4.0,12,2.67959407446857,2664,7,28.64516129032258,26.0,76,14.892838344019383,130.6515873015873,1.0,1.4048557774364228,1.4,2.75,0.39889388169170215
1702,72,331,1,4.597222222222222,3.5,16,3.25299308426252,2274,5,31.583333333333332,26.0,100,21.05040898200933,150.89126984126983,1.0,2.0957120811287475,1.7083333333333335,5.5,1.0565425615941295
1703,13,38,1,2.923076923076923,3.0,6,1.4978617237881953,236,7,18.153846153846153,20.0,27,7.289789135566655,25.71666666666667,1.0,1.9782051282051283,1.5,5.0,1.2651559817349236
1704,1577,8396,1,5.324032974001268,5.0,14,2.731585688669959,48226,3,30.580849714648068,27.0,70,12.520185267209207,3328.9359224109226,1.0,2.110929563989171,1.75,24.0,1.7492838581809709
1801,2,9,4,4.5,4.5,5,0.7071067811865476,48,22,24.0,24.0,26,2.8284271247461903,3.35,1.6,1.675,1.675,1.75,0.10606601717798207
1804,4,15,2,3.75,4.0,5,1.5,93,10,23.25,25.0,33,11.176612486199325,6.3,1.0,1.575,1.65,2.0,0.43493294502332963
1805,11,36,1,3.272727272727273,3.0,7,2.0045403009622476,191,4,17.363636363636363,19.0,34,10.01271918384539,16.664285714285715,1.0,1.514935064935065,1.5,2.0,0.3874945554574585
1806,1407,6626,1,4.709310589907605,5.0,15,2.269237035238877,40470,6,28.763326226012794,26.0,94,12.468742929302392,2902.4168747918748,1.0,2.0628407070304724,1.6,23.0,2.0045680697426533
1901,127,514,1,4.047244094488189,3.0,15,2.369978459873099,3096,4,24.37795275590551,23.0,86,12.702911261033305,243.25833333333333,1.0,1.9154199475065616,1.6666666666666667,12.0,1.2844376417952565
1902,475,1843,1,3.88,4.0,11,2.0064032517016153,11370,5,23.936842105263157,24.0,63,9.743125377227106,1147.5104617604618,1.0,2.4158114984430776,2.0,19.0,1.9495990324692583
