iteration,seed,epoch,train_loss,train_acc,train_top1_acc,train_top2_acc,train_top3_acc,train_top4_acc,train_top5_acc,val_loss,val_acc,val_top1_acc,val_top2_acc,val_top3_acc,val_top4_acc,val_top5_acc
0,131345983,1,2.9205078714090575,0.4681415616118495,0.4681415616118495,0.5617101233927301,0.6081818932273547,0.6380139234485497,0.6601491404963226,2.009184408187866,0.5850324893569347,0.5850324893569347,0.6882515497796698,0.7341847785495556,0.7615206512809022,0.7802673836731645
0,131345983,2,1.8213022540752557,0.6147387289644681,0.6147387289644681,0.7160198277454785,0.7630026219481035,0.7911207550581585,0.8112787008974374,1.7378779206957136,0.6361938905071327,0.6361938905071327,0.7317947568899843,0.7730973186944506,0.8023003958473374,0.8206736873552917
0,131345983,3,1.4574695075421746,0.6761363413013826,0.6761363413013826,0.7750667279895909,0.8173205813098734,0.842679182832726,0.8599911160379101,1.64637261004675,0.6568078273209351,0.6568078273209351,0.7522593173500635,0.7937859436851147,0.8162670849204571,0.8340428710135186
0,131345983,4,1.1826269286019462,0.7256899811707175,0.7256899811707175,0.8203434869944298,0.8590123078253554,0.8811553867864822,0.8954090356970176,1.6148648863747006,0.6628575696467249,0.6628575696467249,0.7579356187915453,0.7996863096571812,0.8234371498991709,0.8389722906863843
0,131345983,5,0.9533100737112629,0.7707623304283564,0.7707623304283564,0.8586821074644936,0.8929875663840309,0.9118011250398009,0.9240460550884269,1.663499813420432,0.6724923444618717,0.6724923444618717,0.7630144148181343,0.8025991485547838,0.8262753006199118,0.842407946822018
0,131345983,6,0.7590286656014876,0.809694525356636,0.809694525356636,0.8915173885868604,0.92051212503587,0.9362477446136066,0.9460947910893074,1.7047827822821482,0.6766001941892599,0.6766001941892599,0.765329748300844,0.803121965792815,0.8262753006199118,0.8431548285906341
0,131345983,7,0.5969285593935901,0.8461148389683597,0.8461148389683597,0.9189987067152533,0.9434020857656128,0.9561541092255622,0.963756579438738,1.7899449178150721,0.6739861079991037,0.6739861079991037,0.7601015759205317,0.7998356860109045,0.8224662035999701,0.8378519680334603
1,742268813,1,2.939547953951047,0.4654567182015087,0.4654567182015087,0.5582233648202963,0.6040072172364588,0.6341615859051617,0.6567842415808736,2.012197478612264,0.5823437149899171,0.5823437149899171,0.6809321084472328,0.7291059825229667,0.7595787586825006,0.7810889536186422
1,742268813,2,1.8234765988960113,0.613944675715729,0.613944675715729,0.7156463868611704,0.7617211300714255,0.7901301539755731,0.8102016187679596,1.7375810600462414,0.6315632235417133,0.6315632235417133,0.7272387781014266,0.7736948241093435,0.8015535140787213,0.8197774292329524
1,742268813,3,1.4584543929553369,0.6759476553808901,0.6759476553808901,0.7746775632785751,0.817127964432704,0.8423175348184487,0.8597080871571714,1.644092707406907,0.6521771603555158,0.6521771603555158,0.7491971020987378,0.7899021584883112,0.8163417730973187,0.8332959892449026
1,742268813,4,1.1852361563165903,0.7251986115861017,0.7251986115861017,0.8192467500815673,0.8584069404971088,0.8801608547472198,0.8947211182785555,1.6222636699676514,0.6659944730749122,0.6659944730749122,0.7570393606692061,0.7975203525281948,0.8217193218313541,0.8392710433938307
1,742268813,5,0.9556567789443302,0.7693353931546321,0.7693353931546321,0.8579077089991392,0.8926455731531383,0.9118876060866933,0.9239241954314421,1.6586323511032832,0.6697288819179924,0.6697288819179924,0.7618194039883487,0.8005825677795205,0.8244827843752334,0.8388976025095227
1,742268813,6,0.7593642349094453,0.8100129328474671,0.8100129328474671,0.8918908294711684,0.9217896859558711,0.937081107429115,0.9466215392840156,1.7027682860692341,0.676376129658675,0.676376129658675,0.7636119202330272,0.8007319441332437,0.8244827843752334,0.8408394951079244
1,742268813,7,0.5977002498609439,0.8460165650514365,0.8460165650514365,0.9194153881230075,0.9433981548089359,0.955741358774485,0.9634656886446454,1.7980430024010794,0.6762267533049519,0.6762267533049519,0.7592800059750542,0.7977444170587796,0.8201508701172604,0.8357606990813354
2,724791594,1,2.9437083010702305,0.4660660164864323,0.4660660164864323,0.5588444559752507,0.6044356915142438,0.6348770200203624,0.6573188516889356,2.03732750075204,0.5802524460377922,0.5802524460377922,0.6790649040256928,0.7252968855030248,0.7523340055269251,0.7757860930614684
