source,variant,top_1_acc,top_2_acc,top_3_acc,top_4_acc,top_5_acc
Baseline,D2V_PREPRO+NGRAM,0.6084322,0.6847561,0.7148703000000001,0.7314811000000001,0.7430802
DistilBERT,FFT11,0.6637239524983196,0.7553065949660168,0.7975651654343118,0.822182388527896,0.8388229143326612
