train_type,iteration,epoch,val_top1_acc,val_loss
FE,1,19,0.5256553887519606,2.264264667475665
FE,2,20,0.5340951527373217,2.2167304003680197
FE,3,18,0.5268503995817462,2.258218363479332
FE,4,20,0.5238628725072821,2.28467004387467
FE,5,19,0.5246097542758982,2.279327904736554
FFT,1,7,0.6701023228023004,1.7935663734163556
FFT,2,6,0.6718948390469789,1.7072253545125329
FFT,3,7,0.6692807528568228,1.810254863330296
FFT,4,7,0.673388602584211,1.7849258911041987
FFT,5,6,0.6723429681081485,1.7202451898938134
FFT11,1,6,0.6766001941892599,1.7047827822821482
FFT11,2,6,0.676376129658675,1.702768286069234
FFT11,3,7,0.6751064306520278,1.8036108289446149
FFT11,4,6,0.6748076779445814,1.7241916798409962
FFT11,5,6,0.6736126671147957,1.7170712777546473
PFT,1,7,0.6636791395922026,1.728835315931411
PFT,2,8,0.6646500858914034,1.781348424866086
PFT,3,7,0.6606169243408768,1.7356194723220095
PFT,4,8,0.6653969676600194,1.7966704425357638
PFT,5,8,0.6653969676600194,1.7816330989201865
