,HS06,GOODS_DESCRIPTION_len_words,GOODS_DESCRIPTION_len_words,GOODS_DESCRIPTION_len_words,GOODS_DESCRIPTION_len_words,GOODS_DESCRIPTION_len_words,GOODS_DESCRIPTION_len_words,GOODS_DESCRIPTION_len_chars,GOODS_DESCRIPTION_len_chars,GOODS_DESCRIPTION_len_chars,GOODS_DESCRIPTION_len_chars,GOODS_DESCRIPTION_len_chars,GOODS_DESCRIPTION_len_chars,subtokenization_indicator,subtokenization_indicator,subtokenization_indicator,subtokenization_indicator,subtokenization_indicator,subtokenization_indicator,cosine_sim_gd_vs_hs_text,cosine_sim_gd_vs_hs_text,cosine_sim_gd_vs_hs_text,cosine_sim_gd_vs_hs_text,cosine_sim_gd_vs_hs_text,cosine_sim_gd_vs_hs_text
,count,sum,min,mean,median,max,std,sum,min,mean,median,max,std,sum,min,mean,median,max,std,sum,min,mean,median,max,std
HS06,,,,,,,,,,,,,,,,,,,,,,,,,
20319,2,7,3,3.5,3.5,4,0.7071067811865476,45,16,22.5,22.5,29,9.192388155425117,2.333333333333333,1.0,1.1666666666666665,1.1666666666666665,1.3333333333333333,0.23570226039551587,1.7321512699127197,0.8611924648284912,0.8660756349563599,0.8660756349563599,0.8709588050842285,0.006905845422207009
20322,1,4,4,4.0,4.0,4,,31,31,31.0,31.0,31,,3.0,3.0,3.0,3.0,3.0,,0.722154438495636,0.722154438495636,0.722154438495636,0.722154438495636,0.722154438495636,
20329,205,1287,1,6.278048780487805,6.0,14,3.073567910993858,8140,8,39.707317073170735,39.0,89,14.087687404044347,709.9201687201687,1.0,3.4630252132691157,1.7857142857142858,33.0,5.579802763457737,173.68504279851913,0.753935694694519,0.8472441112122885,0.8540633916854858,0.9089758396148682,0.04118186568327343
20423,2,8,2,4.0,4.0,6,2.8284271247461903,52,13,26.0,26.0,39,18.384776310850235,3.5,1.5,1.75,1.75,2.0,0.3535533905932738,1.6141732335090637,0.7836381196975708,0.8070866167545319,0.8070866167545319,0.8305351138114929,0.03316118255521994
20430,1,3,3,3.0,3.0,3,,17,17,17.0,17.0,17,,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,,0.8169355392456055,0.8169355392456055,0.8169355392456055,0.8169355392456055,0.8169355392456055,
20443,1,2,2,2.0,2.0,2,,13,13,13.0,13.0,13,,2.0,2.0,2.0,2.0,2.0,,0.7178073525428772,0.7178073525428772,0.7178073525428772,0.7178073525428772,0.7178073525428772,
20622,1,3,3,3.0,3.0,3,,18,18,18.0,18.0,18,,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,,0.854027271270752,0.854027271270752,0.854027271270752,0.854027271270752,0.854027271270752,
20629,2,8,4,4.0,4.0,4,0.0,50,24,25.0,25.0,26,1.4142135623730951,3.0,1.5,1.5,1.5,1.5,0.0,1.5132079124450684,0.7230551242828369,0.7566039562225342,0.7566039562225342,0.7901527881622314,0.047445213130895544
20690,2,3,1,1.5,1.5,2,0.7071067811865476,18,7,9.0,9.0,11,2.8284271247461903,4.0,1.0,2.0,2.0,3.0,1.4142135623730951,1.3863393068313599,0.6382346749305725,0.6931696534156799,0.6931696534156799,0.7481046319007874,0.0776897916223131
20711,2,6,3,3.0,3.0,3,0.0,45,22,22.5,22.5,23,0.7071067811865476,3.0,1.3333333333333333,1.5,1.5,1.6666666666666667,0.23570226039551595,1.5688965916633606,0.7826164364814758,0.7844482958316803,0.7844482958316803,0.7862801551818848,0.0025906403374191234
20712,17,57,2,3.3529411764705883,3.0,5,1.0571882797418488,376,10,22.11764705882353,22.0,38,8.84507174180329,20.683333333333334,1.0,1.2166666666666668,1.0,1.6666666666666667,0.25752561900604076,13.268335700035095,0.735958456993103,0.7804903352961821,0.7799475789070129,0.8252425193786621,0.027517846124129653
20713,2,6,3,3.0,3.0,3,0.0,44,22,22.0,22.0,22,0.0,3.0,1.3333333333333333,1.5,1.5,1.6666666666666667,0.23570226039551595,1.5938065648078918,0.7831034064292908,0.7969032824039459,0.7969032824039459,0.8107031583786011,0.01951597176242395
20714,13,42,2,3.230769230769231,3.0,5,0.9268086959962983,291,11,22.384615384615383,25.0,34,7.0891755695856675,19.53333333333333,1.0,1.5025641025641023,1.25,2.6666666666666665,0.562601684383059,10.170293748378754,0.7382805943489075,0.7823302883368272,0.7844980359077454,0.8237192034721375,0.02403179022523434
20725,2,7,3,3.5,3.5,4,0.7071067811865476,40,17,20.0,20.0,23,4.242640687119285,2.583333333333333,1.25,1.2916666666666665,1.2916666666666665,1.3333333333333333,0.05892556509887899,1.6137188076972961,0.8016915321350098,0.8068594038486481,0.8068594038486481,0.8120272755622864,0.007308474266031579
20727,1,3,3,3.0,3.0,3,,20,20,20.0,20.0,20,,1.0,1.0,1.0,1.0,1.0,,0.7972768545150757,0.7972768545150757,0.7972768545150757,0.7972768545150757,0.7972768545150757,
20745,1,4,4,4.0,4.0,4,,23,23,23.0,23.0,23,,1.0,1.0,1.0,1.0,1.0,,0.807839035987854,0.807839035987854,0.807839035987854,0.807839035987854,0.807839035987854,
20890,9,25,2,2.7777777777777777,3.0,4,0.6666666666666667,154,11,17.11111111111111,16.0,26,4.986091767217197,16.166666666666664,1.0,1.796296296296296,1.6666666666666667,2.6666666666666665,0.6860605019571373,7.654224276542664,0.8034183382987976,0.8504693640602959,0.84831702709198,0.9072797298431396,0.03290816201890851
21011,2,3,1,1.5,1.5,2,0.7071067811865476,19,6,9.5,9.5,13,4.949747468305833,4.0,2.0,2.0,2.0,2.0,0.0,1.3781165480613708,0.652984619140625,0.6890582740306854,0.6890582740306854,0.7251319289207458,0.051015851989889976
21019,8,23,1,2.875,2.5,5,1.457737973711325,132,7,16.5,12.5,37,10.542431272854337,13.233333333333333,1.0,1.6541666666666666,1.4166666666666665,3.0,0.8051298820588682,6.11950558423996,0.6687340140342712,0.764938198029995,0.767800509929657,0.8173032999038696,0.047217110976643197
21020,1,2,2,2.0,2.0,2,,13,13,13.0,13.0,13,,2.0,2.0,2.0,2.0,2.0,,0.7818548679351807,0.7818548679351807,0.7818548679351807,0.7818548679351807,0.7818548679351807,
21099,5,21,2,4.2,2.0,10,3.492849839314596,118,7,23.6,9.0,56,21.97271034715563,7.9,1.0,1.58,1.0,3.2,0.9549869109050658,3.6577466130256653,0.6890946626663208,0.7315493226051331,0.7413451671600342,0.7605640292167664,0.0298148601623367
30111,2,6,1,3.0,3.0,5,2.8284271247461903,42,8,21.0,21.0,34,18.384776310850235,3.0,1.0,1.5,1.5,2.0,0.7071067811865476,1.8094292879104614,0.8684905171394348,0.9047146439552307,0.9047146439552307,0.9409387707710266,0.05122865142802148
30119,1,2,2,2.0,2.0,2,,13,13,13.0,13.0,13,,1.0,1.0,1.0,1.0,1.0,,0.933894157409668,0.933894157409668,0.933894157409668,0.933894157409668,0.933894157409668,
30199,2,5,2,2.5,2.5,3,0.7071067811865476,37,18,18.5,18.5,19,0.7071067811865476,3.5,1.0,1.75,1.75,2.5,1.0606601717798212,1.8218672275543213,0.910491108894348,0.9109336137771606,0.9109336137771606,0.9113761186599731,0.0006257964066897938
30214,1,2,2,2.0,2.0,2,,12,12,12.0,12.0,12,,1.5,1.5,1.5,1.5,1.5,,0.8332146406173706,0.8332146406173706,0.8332146406173706,0.8332146406173706,0.8332146406173706,
30229,3,5,1,1.6666666666666667,2.0,2,0.5773502691896258,25,5,8.333333333333334,8.0,12,3.5118845842842465,5.5,1.0,1.8333333333333333,1.5,3.0,1.0408329997330663,2.4970635771751404,0.7982856035232544,0.8323545257250468,0.8317193984985352,0.8670585751533508,0.03439088464482854
30232,1,2,2,2.0,2.0,2,,10,10,10.0,10.0,10,,1.0,1.0,1.0,1.0,1.0,,0.8736801147460938,0.8736801147460938,0.8736801147460938,0.8736801147460938,0.8736801147460938,
30239,2,4,2,2.0,2.0,2,0.0,20,10,10.0,10.0,10,0.0,3.5,1.5,1.75,1.75,2.0,0.3535533905932738,1.745169758796692,0.8362547159194946,0.872584879398346,0.872584879398346,0.9089150428771972,0.05137860991502312
30299,1,2,2,2.0,2.0,2,,12,12,12.0,12.0,12,,1.0,1.0,1.0,1.0,1.0,,0.8367096185684204,0.8367096185684204,0.8367096185684204,0.8367096185684204,0.8367096185684204,
30329,5,12,1,2.4,2.0,4,1.140175425099138,70,7,14.0,13.0,25,7.3484692283495345,6.083333333333333,1.0,1.2166666666666666,1.25,1.5,0.21730674684008822,4.281669318675995,0.8382570147514343,0.8563338637351989,0.85834801197052,0.8684314489364624,0.011323752685737943
30339,2,3,1,1.5,1.5,2,0.7071067811865476,14,4,7.0,7.0,10,4.242640687119285,2.0,1.0,1.0,1.0,1.0,0.0,1.6294732093811035,0.7878766059875488,0.8147366046905518,0.8147366046905518,0.8415966033935547,0.03798577445111049
30342,2,7,3,3.5,3.5,4,0.7071067811865476,35,17,17.5,17.5,18,0.7071067811865476,2.75,1.0,1.375,1.375,1.75,0.5303300858899106,1.734607458114624,0.8597062826156616,0.867303729057312,0.867303729057312,0.8749011754989624,0.010744411797185193
30349,1,2,2,2.0,2.0,2,,9,9,9.0,9.0,9,,1.0,1.0,1.0,1.0,1.0,,0.8853757381439209,0.8853757381439209,0.8853757381439209,0.8853757381439209,0.8853757381439209,
30353,1,2,2,2.0,2.0,2,,12,12,12.0,12.0,12,,2.0,2.0,2.0,2.0,2.0,,0.8743466138839722,0.8743466138839722,0.8743466138839722,0.8743466138839722,0.8743466138839722,
30354,1,3,3,3.0,3.0,3,,23,23,23.0,23.0,23,,2.0,2.0,2.0,2.0,2.0,,0.8593927621841431,0.8593927621841431,0.8593927621841431,0.8593927621841431,0.8593927621841431,
30389,2,6,3,3.0,3.0,3,0.0,38,16,19.0,19.0,22,4.242640687119285,2.6666666666666665,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,1.6601383686065674,0.8175901174545288,0.8300691843032837,0.8300691843032837,0.8425482511520386,0.017648065583269635
30433,2,8,4,4.0,4.0,4,0.0,50,24,25.0,25.0,26,1.4142135623730951,2.5,1.25,1.25,1.25,1.25,0.0,1.7925634384155273,0.8924753665924072,0.8962817192077637,0.8962817192077637,0.9000880718231201,0.005382995491811386
30439,1,2,2,2.0,2.0,2,,11,11,11.0,11.0,11,,1.0,1.0,1.0,1.0,1.0,,0.8796027302742004,0.8796027302742004,0.8796027302742004,0.8796027302742004,0.8796027302742004,
30441,2,11,2,5.5,5.5,9,4.949747468305833,66,12,33.0,33.0,54,29.698484809834994,4.444444444444445,2.0,2.2222222222222223,2.2222222222222223,2.4444444444444446,0.3142696805273546,1.6853817701339722,0.8377766609191895,0.8426908850669861,0.8426908850669861,0.8476051092147827,0.006949762438355361
30449,2,9,3,4.5,4.5,6,2.1213203435596424,49,21,24.5,24.5,28,4.949747468305833,3.0,1.3333333333333333,1.5,1.5,1.6666666666666667,0.23570226039551595,1.6980026960372925,0.8273903131484985,0.8490013480186462,0.8490013480186462,0.870612382888794,0.030562618610280763
30459,7,23,2,3.2857142857142856,3.0,4,0.7559289460184544,156,13,22.285714285714285,23.0,29,5.822779568622009,10.416666666666666,1.0,1.488095238095238,1.5,2.0,0.3278315801956013,5.418975353240967,0.7619471549987793,0.7741393361772809,0.7717558145523071,0.8082808256149292,0.016239143717653625
30475,1,3,3,3.0,3.0,3,,19,19,19.0,19.0,19,,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,,0.866134524345398,0.866134524345398,0.866134524345398,0.866134524345398,0.866134524345398,
30487,3,6,1,2.0,2.0,3,1.0,28,4,9.333333333333334,9.0,15,5.507570547286102,3.0,1.0,1.0,1.0,1.0,0.0,2.6750810742378235,0.856050431728363,0.8916936914126078,0.9073398113250732,0.9116908311843872,0.030944536095131873
30489,2,11,5,5.5,5.5,6,0.7071067811865476,67,29,33.5,33.5,38,6.363961030678928,3.9,1.5,1.95,1.95,2.4,0.6363961030678927,1.6933826208114624,0.8454433679580688,0.8466913104057312,0.8466913104057312,0.8479392528533936,0.0017648571345451768
30539,1,2,2,2.0,2.0,2,,10,10,10.0,10.0,10,,1.0,1.0,1.0,1.0,1.0,,0.8103077411651611,0.8103077411651611,0.8103077411651611,0.8103077411651611,0.8103077411651611,
30541,2,12,5,6.0,6.0,7,1.4142135623730951,92,42,46.0,46.0,50,5.656854249492381,6.257142857142857,2.857142857142857,3.1285714285714286,3.1285714285714286,3.4,0.38385796692984,1.7916391491889954,0.8875916600227356,0.8958195745944977,0.8958195745944977,0.9040474891662598,0.011636028377433157
30559,1,1,1,1.0,1.0,1,,9,9,9.0,9.0,9,,3.0,3.0,3.0,3.0,3.0,,0.7488678097724915,0.7488678097724915,0.7488678097724915,0.7488678097724915,0.7488678097724915,
30563,1,3,3,3.0,3.0,3,,20,20,20.0,20.0,20,,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,,0.8656793236732483,0.8656793236732483,0.8656793236732483,0.8656793236732483,0.8656793236732483,
30569,2,4,2,2.0,2.0,2,0.0,23,10,11.5,11.5,13,2.1213203435596424,2.0,1.0,1.0,1.0,1.0,0.0,1.5646445751190186,0.766309380531311,0.7823222875595093,0.7823222875595093,0.7983351945877075,0.022645670292297408
30579,1,2,2,2.0,2.0,2,,14,14,14.0,14.0,14,,2.0,2.0,2.0,2.0,2.0,,0.8830082416534424,0.8830082416534424,0.8830082416534424,0.8830082416534424,0.8830082416534424,
30692,1,2,2,2.0,2.0,2,,12,12,12.0,12.0,12,,1.5,1.5,1.5,1.5,1.5,,0.7449750304222107,0.7449750304222107,0.7449750304222107,0.7449750304222107,0.7449750304222107,
30719,1,6,6,6.0,6.0,6,,44,44,44.0,44.0,44,,2.5,2.5,2.5,2.5,2.5,,0.7770156860351562,0.7770156860351562,0.7770156860351562,0.7770156860351562,0.7770156860351562,
30732,1,2,2,2.0,2.0,2,,12,12,12.0,12.0,12,,2.0,2.0,2.0,2.0,2.0,,0.8862049579620361,0.8862049579620361,0.8862049579620361,0.8862049579620361,0.8862049579620361,
30759,1,6,6,6.0,6.0,6,,29,29,29.0,29.0,29,,1.0,1.0,1.0,1.0,1.0,,0.824079155921936,0.824079155921936,0.824079155921936,0.824079155921936,0.824079155921936,
30760,1,2,2,2.0,2.0,2,,11,11,11.0,11.0,11,,1.0,1.0,1.0,1.0,1.0,,0.80145263671875,0.80145263671875,0.80145263671875,0.80145263671875,0.80145263671875,
30799,1,2,2,2.0,2.0,2,,16,16,16.0,16.0,16,,2.5,2.5,2.5,2.5,2.5,,0.7433232069015503,0.7433232069015503,0.7433232069015503,0.7433232069015503,0.7433232069015503,
30830,1,2,2,2.0,2.0,2,,14,14,14.0,14.0,14,,1.5,1.5,1.5,1.5,1.5,,0.7552275061607361,0.7552275061607361,0.7552275061607361,0.7552275061607361,0.7552275061607361,
40110,8,34,2,4.25,4.5,6,1.2817398889233114,185,12,23.125,25.5,34,7.453426824526517,12.7,1.0,1.5875,1.45,2.8,0.6561522035973926,6.280126392841339,0.7684006690979004,0.7850157991051674,0.7832684218883514,0.8103904724121094,0.01592802282609277
40120,21,126,2,6.0,6.0,15,3.286335345030997,659,8,31.38095238095238,28.0,88,17.63087119366536,31.63531746031746,1.0,1.5064436885865458,1.3333333333333333,2.5,0.4064839245455939,17.155684530735016,0.7508431077003479,0.8169373586064294,0.8108937740325928,0.8816255331039429,0.03739096799467913
40140,5,29,3,5.8,4.0,10,3.420526275297414,138,15,27.6,24.0,45,12.621410380777577,6.094444444444444,1.0,1.218888888888889,1.25,1.4,0.1630912794483468,4.0149083733558655,0.7808162569999695,0.8029816746711731,0.792034387588501,0.8585400581359863,0.03205320366285575
40150,3,9,2,3.0,2.0,5,1.7320508075688772,53,10,17.666666666666668,12.0,31,11.590225767142474,3.9,1.0,1.3,1.4,1.5,0.264575131106459,2.279207229614258,0.7329915165901184,0.7597357432047526,0.7654756307601929,0.7807400822639465,0.024386289443841025
40210,34,97,1,2.8529411764705883,3.0,6,1.131701667004871,638,4,18.764705882352942,19.0,34,7.746196812784232,72.66666666666667,1.0,2.1372549019607843,1.5833333333333335,8.0,1.6748388475848306,25.86549586057663,0.6694665551185608,0.7607498782522538,0.7628356218338013,0.8539993762969971,0.043514595649226176
40221,81,261,1,3.2222222222222223,3.0,7,1.2649110640673518,1714,5,21.160493827160494,20.0,45,8.958873799372686,153.55714285714285,1.0,1.8957671957671958,1.6666666666666667,6.5,0.9490023404485735,64.68952190876007,0.704505443572998,0.7986360729476552,0.8047041296958923,0.8684943318367004,0.041307038044704564
40291,8,34,3,4.25,4.5,6,1.1649647450214349,197,16,24.625,23.0,38,7.501190381723232,14.733333333333334,1.3333333333333333,1.8416666666666668,1.6666666666666667,2.6,0.40306366427689494,6.64915144443512,0.769906759262085,0.83114393055439,0.8365394175052643,0.8680457472801208,0.03235347676851811
40299,32,122,1,3.8125,4.0,9,1.925005236691662,728,5,22.75,25.0,46,10.40471357203691,61.27460317460317,1.0,1.9148313492063491,1.5277777777777777,10.0,1.5635355913572535,26.426125705242157,0.7530335187911987,0.8258164282888174,0.8348967134952545,0.8888903260231018,0.03546995407899872
40310,371,3046,1,8.210242587601078,8.0,20,4.195751093462231,20099,5,54.17520215633423,55.0,95,16.78235977510864,1682.4138790131437,1.0,4.534808299226802,1.9,36.0,7.334150942583522,304.024462223053,0.6998907923698425,0.8194729439974474,0.8286827802658081,0.8717131614685059,0.03467947614270564
40390,80,404,1,5.05,4.0,14,3.205612167291703,2634,4,32.925,27.0,79,18.41489146989743,202.7166611166611,1.0,2.533958263958264,1.9285714285714284,25.0,3.6178353772538916,62.0954167842865,0.6775598526000977,0.7761927098035812,0.7827570140361786,0.862390398979187,0.039685098060402185
40490,1,3,3,3.0,3.0,3,,16,16,16.0,16.0,16,,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,,0.7281001806259155,0.7281001806259155,0.7281001806259155,0.7281001806259155,0.7281001806259155,
40510,29,96,2,3.310344827586207,3.0,8,1.466371816906858,598,9,20.620689655172413,20.0,46,8.554087548833214,45.766666666666666,1.0,1.5781609195402297,1.5,2.6666666666666665,0.41842731462527755,24.7052521109581,0.77855384349823,0.8519052452054517,0.8461595773696899,0.9220154881477356,0.033176312417822026
40520,1,2,2,2.0,2.0,2,,13,13,13.0,13.0,13,,1.0,1.0,1.0,1.0,1.0,,0.9065226912498474,0.9065226912498474,0.9065226912498474,0.9065226912498474,0.9065226912498474,
40590,106,373,1,3.518867924528302,3.0,15,1.8425196623644107,2314,5,21.830188679245282,21.0,82,10.368883576872093,218.45,1.0,2.0608490566037734,1.6666666666666667,9.0,1.3550171951675476,88.28130030632019,0.7611784934997559,0.8328424557200018,0.832642138004303,0.8989368677139282,0.029703712298167755
40610,9,32,2,3.5555555555555554,3.0,6,1.2360330811826106,207,12,23.0,23.0,33,7.1414284285428495,16.55,1.0,1.838888888888889,1.75,3.0,0.6435578192102607,7.885848104953766,0.8115452527999878,0.8762053449948629,0.8897937536239624,0.923337459564209,0.038549194497880315
40620,3,17,3,5.666666666666667,7.0,7,2.309401076758503,124,25,41.333333333333336,47.0,52,14.364307617610162,4.666666666666667,1.4285714285714286,1.5555555555555556,1.5714285714285714,1.6666666666666667,0.11983864182969445,2.569750189781189,0.8176146149635315,0.8565833965937296,0.8732366561889648,0.8788989186286926,0.03386649908524117
40630,20,83,1,4.15,4.0,8,2.058998223459779,506,6,25.3,23.0,47,12.087836426494372,29.473809523809525,1.0,1.4736904761904763,1.5,2.6,0.44210426949490234,17.484447479248047,0.805652379989624,0.8742223739624023,0.8853931725025177,0.9171442985534668,0.03082488283383023
40640,1,5,5,5.0,5.0,5,,35,35,35.0,35.0,35,,2.6,2.6,2.6,2.6,2.6,,0.8758914470672607,0.8758914470672607,0.8758914470672607,0.8758914470672607,0.8758914470672607,
40690,382,1931,1,5.054973821989528,5.0,15,2.713747227554722,11899,4,31.149214659685864,29.0,84,13.559095383656372,938.5941641691642,1.0,2.4570527857831523,1.8333333333333333,22.0,2.8409454362160838,350.6575817465782,0.8352843523025513,0.9179517846769063,0.9180060625076294,0.9614916443824768,0.021166184241386332
40711,4,16,3,4.0,4.0,5,1.1547005383792515,99,19,24.75,25.0,30,5.560275772537426,5.866666666666667,1.3333333333333333,1.4666666666666668,1.4666666666666668,1.6,0.15396007178390028,3.4944854378700256,0.8664533495903015,0.8736213594675064,0.8745893836021423,0.8788533210754395,0.005220287256055592
40729,2,5,2,2.5,2.5,3,0.7071067811865476,21,7,10.5,10.5,14,4.949747468305833,2.0,1.0,1.0,1.0,1.0,0.0,1.6919538378715515,0.8129491806030273,0.8459769189357758,0.8459769189357758,0.8790046572685242,0.04670827548468256
40790,2,5,2,2.5,2.5,3,0.7071067811865476,25,8,12.5,12.5,17,6.363961030678928,3.166666666666667,1.5,1.5833333333333335,1.5833333333333335,1.6666666666666667,0.11785113019775789,1.6327568888664246,0.8158169388771057,0.8163784444332123,0.8163784444332123,0.8169399499893188,0.0007940887727937544
40900,29,110,1,3.793103448275862,3.0,11,2.076730093626372,652,5,22.482758620689655,24.0,39,9.120701295307647,47.248051948051945,1.0,1.6292431706224808,1.5,4.333333333333333,0.8301432554229157,0.0,,,,,
41000,1,4,4,4.0,4.0,4,,14,14,14.0,14.0,14,,1.0,1.0,1.0,1.0,1.0,,0.0,,,,,
50100,2,5,2,2.5,2.5,3,0.7071067811865476,27,11,13.5,13.5,16,3.5355339059327378,2.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,
50400,1,2,2,2.0,2.0,2,,13,13,13.0,13.0,13,,1.5,1.5,1.5,1.5,1.5,,0.0,,,,,
