,HS06,GOODS_DESCRIPTION_len_words,GOODS_DESCRIPTION_len_words,GOODS_DESCRIPTION_len_words,GOODS_DESCRIPTION_len_words,GOODS_DESCRIPTION_len_words,GOODS_DESCRIPTION_len_words,GOODS_DESCRIPTION_len_chars,GOODS_DESCRIPTION_len_chars,GOODS_DESCRIPTION_len_chars,GOODS_DESCRIPTION_len_chars,GOODS_DESCRIPTION_len_chars,GOODS_DESCRIPTION_len_chars,subtokenization_indicator,subtokenization_indicator,subtokenization_indicator,subtokenization_indicator,subtokenization_indicator,subtokenization_indicator
,count,sum,min,mean,median,max,std,sum,min,mean,median,max,std,sum,min,mean,median,max,std
HS06,,,,,,,,,,,,,,,,,,,
010121,5,30,4,6.0,6.0,7,1.224744871391589,172,24,34.4,33.0,46,8.203657720797473,6.738095238095238,1.0,1.3476190476190477,1.2857142857142858,1.6666666666666667,0.2517512359597392
010130,1,2,2,2.0,2.0,2,,16,16,16.0,16.0,16,,1.5,1.5,1.5,1.5,1.5,
010190,1,3,3,3.0,3.0,3,,15,15,15.0,15.0,15,,1.0,1.0,1.0,1.0,1.0,
010221,5,20,2,4.0,3.0,7,2.345207879911715,103,8,20.6,19.0,34,11.631852818876277,7.0,1.0,1.4,1.3333333333333333,2.0,0.43461349368017654
010229,2,8,3,4.0,4.0,5,1.4142135623730951,47,22,23.5,23.5,25,2.1213203435596424,3.3333333333333335,1.0,1.6666666666666667,1.6666666666666667,2.3333333333333335,0.9428090415820635
010231,1,2,2,2.0,2.0,2,,9,9,9.0,9.0,9,,1.0,1.0,1.0,1.0,1.0,
010290,2,5,2,2.5,2.5,3,0.7071067811865476,20,8,10.0,10.0,12,2.8284271247461903,2.0,1.0,1.0,1.0,1.0,0.0
010310,1,2,2,2.0,2.0,2,,16,16,16.0,16.0,16,,2.0,2.0,2.0,2.0,2.0,
010392,1,1,1,1.0,1.0,1,,4,4,4.0,4.0,4,,1.0,1.0,1.0,1.0,1.0,
010420,3,6,1,2.0,1.0,4,1.7320508075688772,33,4,11.0,9.0,20,8.18535277187245,3.5,1.0,1.1666666666666667,1.0,1.5,0.2886751345948129
010511,75,586,2,7.8133333333333335,7.0,20,3.9135707526549255,3360,14,44.8,37.0,124,23.47281348652038,106.47458413189837,1.0,1.419661121758645,1.2857142857142858,2.6875,0.4142347447725268
010599,1,5,5,5.0,5.0,5,,27,27,27.0,27.0,27,,1.4,1.4,1.4,1.4,1.4,
