iteration,seed,epoch,train_loss,train_acc,train_top1_acc,train_top2_acc,train_top3_acc,train_top4_acc,train_top5_acc,val_loss,val_acc,val_top1_acc,val_top2_acc,val_top3_acc,val_top4_acc,val_top5_acc
0,550264748,1,2.9280216629780718,0.4474908614035157,0.4474908614035157,0.5447310248970313,0.5940657036621134,0.6266191315683048,0.6506091743263352,2.097110254423959,0.5630741653596236,0.5630741653596236,0.6647994622451266,0.7139442826200613,0.7432967361266711,0.7655538128314288
0,550264748,2,1.9952958276523418,0.5770881349410457,0.5770881349410457,0.681093411965181,0.7301414666514847,0.760767053151098,0.7821303629132,1.8413621243976412,0.6159533945776383,0.6159533945776383,0.7128239599671372,0.7584584360295765,0.7868399432369856,0.8059601165135559
0,550264748,3,1.6737803937801763,0.6306083105277417,0.6306083105277417,0.7344997231918143,0.7804106184405294,0.8083191657276129,0.8279038356583912,1.7517080602191744,0.6324594816640525,0.6324594816640525,0.7301516169990291,0.7723504369258346,0.7997609978340429,0.819105235641198
0,550264748,4,1.4417185860662605,0.6703077086171763,0.6703077086171763,0.7719218340799956,0.8163328608616783,0.8422625240980176,0.8595659804702991,1.6829549675896054,0.6481439988049892,0.6481439988049892,0.7434461124803944,0.7877362013593249,0.812159235193069,0.8309806557621928
0,550264748,5,1.2425736710653832,0.7054643113758349,0.7054643113758349,0.8047501069932349,0.8467739085708452,0.8717219824962994,0.8877925626941093,1.6878777583440145,0.6533721711853013,0.6533721711853013,0.7495705429830458,0.7937859436851147,0.8188064829337516,0.8353125700201658
0,550264748,6,1.0750828926287703,0.7354341962157769,0.7354341962157769,0.8334478520862699,0.8732297036778188,0.8955314128211269,0.9108677642143949,1.7131123542785645,0.6562103219060422,0.6562103219060422,0.7522593173500635,0.7960265889909627,0.8200014937635373,0.8352378818433042
0,550264748,7,0.923225715292159,0.7648897282568152,0.7648897282568152,0.8610226590076525,0.8976634248043692,0.9181315251149441,0.9310924303758702,1.728835315931411,0.6636791395922026,0.6636791395922026,0.755172156247666,0.798416610650534,0.8211218164164613,0.8355366345507507
1,140871553,1,2.9373815656606426,0.44804980686493107,0.44804980686493107,0.544079546525139,0.5931915962691957,0.625686964167949,0.6496875294413215,2.106008379799979,0.5635222944207932,0.5635222944207932,0.6695795055642692,0.7160355515721861,0.7473298976771977,0.7671222645455225
1,140871553,2,1.9952541647216053,0.5781882988411896,0.5781882988411896,0.6825950758408441,0.7309298746977357,0.7615174449643564,0.7831548534999843,1.853042787597293,0.6102770931361565,0.6102770931361565,0.7105833146612891,0.7549480917170812,0.7853461796997535,0.8061094928672791
1,140871553,3,1.6751212608808252,0.6310374336588889,0.6310374336588889,0.7343372169707628,0.7802774550136607,0.8083605501994159,0.8280195019313507,1.75734912895021,0.6326835461946374,0.6326835461946374,0.7294794234072747,0.7746657704085443,0.8019269549630293,0.8213458809470461
1,140871553,4,1.4378833703992355,0.6710501523097698,0.6710501523097698,0.7725952328612253,0.8164588763621518,0.8428186728637377,0.8610840687121188,1.6958999100185577,0.6453058480842483,0.6453058480842483,0.7441183060721488,0.7869893195907088,0.8141011277914706,0.8291134513406527
