model,top_1_acc,top_2_acc,top_3_acc,top_4_acc,top_5_acc
DBERT_fe_GOODS_DESCRIPTION_HS04_seed31187689,0.5238628725072821,0.6254387930390619,0.6763014414818135,0.7105833146612891,0.736350735678542
DBERT_fe_GOODS_DESCRIPTION_HS04_seed491185480,0.5256553887519606,0.6298453954738965,0.6798117857943088,0.7092389274777803,0.7325416386586003
DBERT_fe_GOODS_DESCRIPTION_HS04_seed737166323,0.5264022705205766,0.6274553738143251,0.6786167749645231,0.7101351856001195,0.7352304130256181
DBERT_fe_GOODS_DESCRIPTION_HS04_seed95156473,0.5234147434461125,0.6243184703861379,0.6731645380536261,0.708716110239749,0.7336619613115244
DBERT_fe_GOODS_DESCRIPTION_HS04_seed954562093,0.5340951527373217,0.6358951377996863,0.6886249906639779,0.7232056165509,0.747479274030921
