top_1_acc,top_2_acc,top_3_acc,top_4_acc,top_5_acc
0.586377,0.715065,0.771454,0.804093,0.827918
0.575921,0.702816,0.762641,0.796251,0.819105
0.576518,0.707297,0.767496,0.800284,0.821495
0.576145,0.706475,0.76406,0.80006,0.822093
0.568452,0.7005,0.758085,0.790724,0.81567
0.581298,0.709538,0.761969,0.796923,0.818284
0.5748,0.702965,0.760102,0.794533,0.816939
0.569199,0.699828,0.758683,0.794608,0.816641
0.57719,0.705953,0.767122,0.802076,0.823885
0.57973,0.70543,0.765031,0.80006,0.82284
