top_1_acc,top_2_acc,top_3_acc,top_4_acc,top_5_acc
0.519083,0.613339,0.654791,0.682127,0.700799
0.514228,0.604825,0.649563,0.678393,0.697662
0.513033,0.605945,0.64792,0.675704,0.694675
0.510643,0.604601,0.650235,0.677496,0.695422
0.51012,0.600269,0.646202,0.671073,0.689447
0.514377,0.602136,0.645605,0.673837,0.692658
0.501456,0.592352,0.641721,0.666965,0.687654
0.511913,0.605721,0.647472,0.672567,0.689745
0.515124,0.609456,0.652028,0.678243,0.6946
0.510344,0.6049,0.650011,0.675555,0.694525
