top_1_acc,top_2_acc,top_3_acc,top_4_acc,top_5_acc
0.547987,0.672642,0.730525,0.763089,0.784599
0.535141,0.659048,0.717455,0.751961,0.775562
0.539921,0.663455,0.719172,0.755322,0.779147
0.533274,0.659347,0.717529,0.754873,0.778624
0.53402,0.656733,0.717529,0.751214,0.773097
0.538203,0.663306,0.718052,0.752185,0.777056
0.533572,0.659497,0.71626,0.750317,0.775786
0.530734,0.656434,0.711778,0.748824,0.773695
0.53783,0.664127,0.722085,0.753678,0.776757
0.539249,0.659945,0.717231,0.755695,0.7784
