top_1_acc,top_2_acc,top_3_acc,top_4_acc,top_5_acc
0.583389,0.713496,0.77011,0.803495,0.826201
0.582941,0.704982,0.760624,0.794234,0.81791
0.581447,0.706998,0.764732,0.797595,0.81806
0.57734,0.704011,0.763313,0.798118,0.820375
0.571439,0.700127,0.760027,0.794906,0.817462
0.583613,0.706401,0.761521,0.796848,0.821271
0.573456,0.700426,0.759504,0.791844,0.814624
0.571514,0.698857,0.756292,0.791247,0.816715
0.578086,0.710509,0.76757,0.79991,0.824483
0.581149,0.706027,0.763911,0.796475,0.819703
