top_1_acc,top_2_acc,top_3_acc,top_4_acc,top_5_acc
0.621256,0.695496,0.723803,0.739712,0.751139
0.60953,0.684592,0.713496,0.728583,0.741654
0.609231,0.686459,0.715363,0.732168,0.743894
0.606916,0.689372,0.718724,0.736276,0.746956
0.595862,0.673911,0.708044,0.726343,0.739264
0.610576,0.68982,0.717156,0.733064,0.745463
0.598103,0.676003,0.707073,0.723878,0.735156
0.61207,0.685936,0.715438,0.732243,0.742326
0.612891,0.685413,0.716633,0.733886,0.74494
0.607887,0.680559,0.712973,0.728658,0.74001
