iteration,seed,epoch,train_loss,train_acc,train_top1_acc,train_top2_acc,train_top3_acc,train_top4_acc,train_top5_acc,val_loss,val_acc,val_top1_acc,val_top2_acc,val_top3_acc,val_top4_acc,val_top5_acc
0,189334375,1,2.9353029613518835,0.46534700111106314,0.46534700111106314,0.558346518210835,0.6043280423695875,0.6348528332109724,0.6573332129354444,2.0381549188068937,0.5799536933303459,0.5799536933303459,0.6855627754126522,0.7308238105907835,0.761371274927179,0.7833295989244903
0,189334375,2,1.820035839979373,0.6147908806451233,0.6147908806451233,0.7160114796769672,0.7627625033861907,0.7910376858478825,0.8106206642037447,1.7479980434690203,0.6289491373515572,0.6289491373515572,0.7292553588766898,0.7763089102994996,0.8032713421465382,0.8209724400627381
0,189334375,3,1.4526557533585247,0.6761898779400968,0.6761898779400968,0.7751883507190502,0.8179740961324795,0.8429082371786063,0.8601630867924824,1.6692305474054245,0.6522518485323773,0.6522518485323773,0.7506161774591082,0.7922921801478826,0.8158936440361491,0.8326984838300097
0,189334375,4,1.1790013131184793,0.7255045914781851,0.7255045914781851,0.8206359364142106,0.8591894343000499,0.8812929162855158,0.8957995532191385,1.6494223310833886,0.6623347524086937,0.6623347524086937,0.7567406079617597,0.801628202255583,0.8259018597356038,0.8417357532302636
0,189334375,5,0.9497478544861827,0.7712191464051416,0.7712191464051416,0.8589735033037442,0.8937305416727193,0.9119943779420598,0.9242514064959896,1.669498998778207,0.6683844947344836,0.6683844947344836,0.7628650384644111,0.8005825677795205,0.823810590783479,0.8409888714616476
0,189334375,6,0.7511580097465659,0.8123716682828774,0.8123716682828774,0.8934046821692035,0.9224611422357103,0.937470309488008,0.9474423954992128,1.7457118193308512,0.66868324744193,0.66868324744193,0.7594293823287773,0.8008066323101053,0.8246321607289566,0.8409141832847861
0,189334375,7,0.5938055162528652,0.8461707582318785,0.8461707582318785,0.9199170824974187,0.9442466167538897,0.9565429054889659,0.9639709317618792,1.7935663734163556,0.6701023228023004,0.6701023228023004,0.759504070505639,0.8024497722010606,0.8242587198446486,0.8394951079244156
1,371945249,1,2.926685559396346,0.4665894683126926,0.4665894683126926,0.5597417126258563,0.6067515848560382,0.6365488410433554,0.6590410394300407,2.026543958981832,0.5815968332213011,0.5815968332213011,0.6838449473448354,0.7325416386586003,0.7600268877436702,0.7800433191425797
1,371945249,2,1.8261404795481415,0.6136444819532492,0.6136444819532492,0.7151812525760044,0.7615238170006476,0.7903515141999176,0.8099036329022001,1.7531869127636863,0.6303682127119277,0.6303682127119277,0.7318694450668459,0.7789976846665173,0.8046157293300471,0.8217193218313541
1,371945249,3,1.4583245666706042,0.6752997978449883,0.6752997978449883,0.7739161154835038,0.8171223332221154,0.8420286157288375,0.8591902023512786,1.6596231994174775,0.6536709238927477,0.6536709238927477,0.7471805213234745,0.7904996639032041,0.8149226977369483,0.8340428710135186
